method,query_index,query_id,question,category,reasoning,gold_ids,baseline_ids,refined_ids,lost_gold,gained_gold,status,review_notes
d_threshold_0.3,1,b8a1383c,CBOE CBA expiring may impact union representation expenses.,Company overview,True,[1],"[0, 4666, 5109, 1769, 4808]","[0, 4666, 5109, 1769, 4808]",[],[],unchanged,
d_threshold_0.3,2,9826209b,Cboe's earnings impact from market data vs reg fees analysis for ticker.,Footnotes,False,[2],"[0, 9, 1571, 358, 3172]","[0, 9, 1571, 358, 3172]",[],[],unchanged,
d_threshold_0.3,4,1a4cebce,"Cboe's operational stability, governance in cybersecurity, and financial health.",Risk,False,[4],"[1210, 3202, 328, 2555, 2848]","[1210, 3202, 328, 2555, 2848]",[],[],unchanged,
d_threshold_0.3,5,dd6f1e96,"Fee model of Cboe incentivizes order flow liquidity for increased mkt share & profit, ticker.",Company overview,False,[5],"[0, 9, 5317, 1704, 4383]","[0, 9, 5317, 1704, 4383]",[],[],unchanged,
d_threshold_0.3,6,a8300795,Cboe's legal proceedings and loss accrual criteria disclosures.,Legal,False,[6],"[6, 4139, 1958, 1282, 4041]","[6, 4139, 1958, 1282, 4041]",[],[],unchanged,
d_threshold_0.3,10,bd9a5806,$1B liquidity utilization at Cboe Global Markets.,Financials,False,[10],"[0, 5017, 5740, 2912, 9]","[0, 5017, 5740, 2912, 9]",[],[],unchanged,
d_threshold_0.3,11,a54fecf0,Cboe (CBOE) allocates capital primarily towards dividends/share buybacks vs growth investments.,Footnotes,False,"[11, 12]","[14, 0, 13, 5525, 4675]","[14, 0, 13, 5525, 4675]",[],[],unchanged,
d_threshold_0.3,12,bfea2332,"Liquidity Cboe Gbl: cash ops, rev credit, financing.",Financials,False,[13],"[5351, 5740, 13, 1986, 4383]","[5351, 5740, 13, 1986, 4383]",[],[],unchanged,
d_threshold_0.3,14,4fd8f27d,Profitability trends for FY22-24 at LULU and their cost mgmt strategies.,Financials,True,[15],"[15, 1529, 5148, 3414, 2362]","[15, 1529, 5148, 3414, 2362]",[],[],unchanged,
d_threshold_0.3,15,307eb9a3,"Lululemon's impact on ppl strategy & competitive positioning, LULU, drives its growth potential.",Company overview,True,[16],"[24, 15, 1440, 4357, 5659]","[24, 15, 1440, 4357, 5659]",[],[],unchanged,
d_threshold_0.3,16,79042ab4,Impact of LULU's integrated retail strategy on engagement & sales growth by region.,Footnotes,False,[17],"[2219, 3527, 5725, 2073, 1252]","[2219, 3527, 5725, 2073, 1252]",[],[],unchanged,
d_threshold_0.3,17,f514dd06,Impact of higher repurchases on financing cash flow for LULU.,Shareholder return,False,[18],"[15, 1320, 1244, 3676, 4070]","[15, 1320, 1244, 3676, 4070]",[],[],unchanged,
