query_id,query,category,reasoning,type,top_k,precision,recall,reciprocal_rank,ndcg,evidence_coverage,first_relevant_rank,retrieved_count,relevant_count,latency_ms,answer_accuracy_exact_match,answer_token_f1,answer_correctness
00baaedf,APH: impact of purchase obligations distribution on cap allocation & growth strategy.,Footnotes,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,5.0052080769091845,,,
bcea6cba,Mgmt sentiment on buyback for DE is positive.,Shareholder return,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,3.6568749928846955,,,
1d81f6e6,Company vs. franchise employment ratio for Yum.,Company overview,True,Division,5,0.2,1.0,1.0,1.0,1.0,1,5,1,2.6255830889567733,,,
9c501783,Paychex impact of interest accrual rev & holding period risks.,Accounting,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,3.3079999266192317,,,
009d2b5a,BKR share repurchase trends indicate notable financial health & growth signals for 2022-2023.,Shareholder return,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,4.728667088784277,,,
51c9848d,"Operating income growth for ServiceNow in 2023 compared to 2022, NOW.",Financials,True,Subtract,5,0.2,1.0,0.5,0.6309297535714575,1.0,2,5,1,6.227083969861269,,,
29ffa0a8,Tech trends @ Fox Corp impact competitive positioning & growth.,Company overview,False,None,5,0.2,1.0,0.3333333333333333,0.5,1.0,3,5,1,1.0225840378552675,,,
98796dd9,"Growth is influenced by Citizens Financial's HR strategy and board oversight, CFG.",Company overview,True,None,5,0.2,1.0,1.0,1.0,1.0,1,5,1,10.377292055636644,,,
ded7a7da,KMB's stock options & RSU dilution in '21 vs '23.,Financials,True,Division,5,0.0,0.0,0.0,0.0,0.0,,5,1,3.325499943457544,,,
9fd9b39f,Impact on liquidity & working capital from 30-day payment terms at Marathon Oil (MRO).,Accounting,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,4.618125036358833,,,
88041b7f,"Analysis of liquidity, working cap, & asset reduction for Jabil, JBL.",Financials,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,2,3.7492919946089387,,,
66717c5b,Key financial metrics for resilience amid economic and supply volatility for Valero Energy (VLO) remain robust.,Company overview,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,4.111208952963352,,,
1b182746,Unfunded commitments split and liquidity impact for HIG.,Footnotes,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,3.5347919911146164,,,
f9c69b00,"HRL's point-in-time rev, impact of short-term contracts.",Accounting,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,4.5132499653846025,,,
2f580281,Litig. & reg. impacts on Raymond James Financial's short-medium term fin. condition?,Legal,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,3.0447079334408045,,,
c6001ff0,Kellanova's revenue & profitability in comps.,Company overview,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,2.1370419999584556,,,
2373efc3,"Impact of board diversity at Match Group on strategy & profitability, MTCH.",Governance,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,4.474458051845431,,,
14331ce6,Expenditure for the Keysight repurchase program.,Shareholder return,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,3.4613750176504254,,,
d568d2e6,"Autodesk's strategy on digital pipeline (ADSK) aims to enhance productivity, boost sustainability, and maximize financial impact.",Company overview,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,5.17491705249995,,,
d4b02852,CRWD's acquisition of Bionic & Reposify includes goodwill breakdown driven by strategic factors.,Footnotes,False,None,5,0.2,1.0,1.0,1.0,1.0,1,5,1,3.8966659922152758,,,
c2ee2ce8,CF trend and working capital drivers for Mastercard.,Footnotes,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,3.3529169159010053,,,
6116554e,"impact of cybersecurity risk framework on financial liabilities & risk profile relative to peers, vistra.",Risk,False,None,5,0.2,1.0,0.25,0.43067655807339306,1.0,4,5,1,5.5448750499635935,,,
33ce4bb1,UR's rev. CAGR 2021-2023 growth potential.,Financials,True,Compositional,5,0.0,0.0,0.0,0.0,0.0,,5,1,2.2224170388653874,,,
282899e9,Liquidity implications for new investments & div policy well.,Financials,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,2.5564999086782336,,,
b4a342c0,AAPL’s op. margin in 2023 vs 2024 shows trends in efficiency.,Financials,True,Compositional,5,0.0,0.0,0.0,0.0,0.0,,5,1,3.61183297354728,,,
768e9813,Trends in investing cash flow changes and new project investments for FY23-FY24 show promising developments for AMAT.,Footnotes,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,5.180957959964871,,,
632f159a,Contract progress input metrics for Jabil.,Accounting,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,2.120707998983562,,,
1f259cd6,"Labcorp's operating income trend & expense impact decline from 2021-2023, ticker LHC.",Financials,True,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,3.9779579965397716,,,
