query_id,query,category,reasoning,type,top_k,precision,recall,reciprocal_rank,ndcg,evidence_coverage,first_relevant_rank,retrieved_count,relevant_count,latency_ms,answer_accuracy_exact_match,answer_token_f1,answer_correctness
00baaedf,APH: impact of purchase obligations distribution on cap allocation & growth strategy.,Footnotes,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,4.8759590135887265,,,
bcea6cba,Mgmt sentiment on buyback for DE is positive.,Shareholder return,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,3.4472079714760184,,,
1d81f6e6,Company vs. franchise employment ratio for Yum.,Company overview,True,Division,5,0.2,1.0,1.0,1.0,1.0,1,5,1,2.4272080045193434,,,
9c501783,Paychex impact of interest accrual rev & holding period risks.,Accounting,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,3.509082947857678,,,
009d2b5a,BKR share repurchase trends indicate notable financial health & growth signals for 2022-2023.,Shareholder return,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,4.529082914814353,,,
51c9848d,"Operating income growth for ServiceNow in 2023 compared to 2022, NOW.",Financials,True,Subtract,5,0.2,1.0,0.25,0.43067655807339306,1.0,4,5,1,6.326499977149069,,,
29ffa0a8,Tech trends @ Fox Corp impact competitive positioning & growth.,Company overview,False,None,5,0.2,1.0,0.5,0.6309297535714575,1.0,2,5,1,0.9499170118942857,,,
98796dd9,"Growth is influenced by Citizens Financial's HR strategy and board oversight, CFG.",Company overview,True,None,5,0.2,1.0,1.0,1.0,1.0,1,5,1,4.72795800305903,,,
ded7a7da,KMB's stock options & RSU dilution in '21 vs '23.,Financials,True,Division,5,0.0,0.0,0.0,0.0,0.0,,5,1,2.5474170688539743,,,
9fd9b39f,Impact on liquidity & working capital from 30-day payment terms at Marathon Oil (MRO).,Accounting,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,4.220666945911944,,,
88041b7f,"Analysis of liquidity, working cap, & asset reduction for Jabil, JBL.",Financials,False,None,5,0.2,0.5,0.3333333333333333,0.3065735963827292,0.35281181275526236,3,5,2,3.595709102228284,,,
66717c5b,Key financial metrics for resilience amid economic and supply volatility for Valero Energy (VLO) remain robust.,Company overview,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,3.9963331073522568,,,
1b182746,Unfunded commitments split and liquidity impact for HIG.,Footnotes,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,3.4110830165445805,,,
f9c69b00,"HRL's point-in-time rev, impact of short-term contracts.",Accounting,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,4.530582926236093,,,
2f580281,Litig. & reg. impacts on Raymond James Financial's short-medium term fin. condition?,Legal,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,2.9291670070961118,,,
c6001ff0,Kellanova's revenue & profitability in comps.,Company overview,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,2.1677910117432475,,,
2373efc3,"Impact of board diversity at Match Group on strategy & profitability, MTCH.",Governance,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,4.481125040911138,,,
14331ce6,Expenditure for the Keysight repurchase program.,Shareholder return,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,3.3164169872179627,,,
d568d2e6,"Autodesk's strategy on digital pipeline (ADSK) aims to enhance productivity, boost sustainability, and maximize financial impact.",Company overview,False,None,5,0.2,1.0,0.25,0.43067655807339306,1.0,4,5,1,4.985040985047817,,,
d4b02852,CRWD's acquisition of Bionic & Reposify includes goodwill breakdown driven by strategic factors.,Footnotes,False,None,5,0.2,1.0,1.0,1.0,1.0,1,5,1,3.70120897423476,,,
c2ee2ce8,CF trend and working capital drivers for Mastercard.,Footnotes,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,3.311416949145496,,,
6116554e,"impact of cybersecurity risk framework on financial liabilities & risk profile relative to peers, vistra.",Risk,False,None,5,0.2,1.0,1.0,1.0,1.0,1,5,1,5.312916939146817,,,
33ce4bb1,UR's rev. CAGR 2021-2023 growth potential.,Financials,True,Compositional,5,0.0,0.0,0.0,0.0,0.0,,5,1,2.2585830884054303,,,
282899e9,Liquidity implications for new investments & div policy well.,Financials,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,2.441124990582466,,,
b4a342c0,AAPL’s op. margin in 2023 vs 2024 shows trends in efficiency.,Financials,True,Compositional,5,0.0,0.0,0.0,0.0,0.0,,5,1,3.3196249278262258,,,
768e9813,Trends in investing cash flow changes and new project investments for FY23-FY24 show promising developments for AMAT.,Footnotes,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,4.892583005130291,,,
632f159a,Contract progress input metrics for Jabil.,Accounting,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,2.030666102655232,,,
1f259cd6,"Labcorp's operating income trend & expense impact decline from 2021-2023, ticker LHC.",Financials,True,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,3.9239999605342746,,,
60a9ab97,NetApp's buyback and div payout affect liquidity.,Shareholder return,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,2.333250013180077,,,
aafeb7e5,Consideration allocation basis for Kellanova (K) in the multi-element PO.,Accounting,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,4.542749957181513,,,
98a4a949,Corning's (GLW) leadership greatly influences its cap allocation & overall valuation.,Governance,False,None,5,0.2,1.0,1.0,1.0,1.0,1,5,1,1.090124947950244,,,
982346ea,Impact on costs and risk from TransDigm labor negotiations.,Company overview,True,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,4.14420897141099,,,
c0cb5a68,14.3% growth in JKHY’s Corp & Other segment indicates strong diversification and improved risk profile; JKHY.,Footnotes,False,None,5,0.2,1.0,0.25,0.43067655807339306,1.0,4,5,1,4.231082974001765,,,
4e1c0ef4,"2023 Linde operating margin vs historical efficiency, LND.",Financials,True,Compositional,5,0.0,0.0,0.0,0.0,0.0,,5,1,2.000542008318007,,,
1708d4eb,Liquidity mgmt of ground lease obligations for Ventas.,Footnotes,False,None,5,0.2,1.0,0.3333333333333333,0.5,1.0,3,5,1,3.3850830513983965,,,
70c2a733,Impact of OTIS litigation resolution on risk & valuation.,Legal,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,3.4870419185608625,,,
03f6e507,Impact of cybersecurity governance on valuation for Bunge Global SA.,Risk,False,None,5,0.2,1.0,0.5,0.6309297535714575,1.0,2,5,1,4.281500005163252,,,
9c052a04,J&J R&D comps vs rev growth & margins.,Company overview,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,0.5865410203114152,,,
bd9a5806,$1B liquidity utilization at Cboe Global Markets.,Financials,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,1.6787078930065036,,,
0b56dcdc,Rev & GPM change for Labcorp Holdings Inc. from 2022 to 2023; drivers of income stmt: LH.,Financials,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,2,6.655917037278414,,,
e58b0d4f,Change in significance of GS unsecured LT borrowings from 2022 to 2023 with ticker at the end.,Financials,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,8.346208021976054,,,
5039b6f2,"How does IVZ's global team along with its investment capabilities ensure consistent cash flow and long-term growth for its portfolio, IVZ?",Company overview,False,None,5,0.0,0.0,0.0,0.0,0.0,,5,1,5.617666989564896,,,
b63530c9,The decentralized structure of ITW influences efficiency and competitive adv. by enabling quicker decision-making.,Company overview,False,None,5,0.2,1.0,1.0,1.0,1.0,1,5,1,5.13262499589473,,,
8caea930,Effects of Hasbro's leadership changes on strategic direction & fin. oversight; HAS.,Governance,False,None,5,0.2,1.0,0.25,0.43067655807339306,1.0,4,5,1,4.102624952793121,,,
38aa7960,Impact on op. stability & risk profile of PACCAR employee initiatives.,Company overview,True,None,5,0.2,1.0,0.5,0.6309297535714575,1.0,2,5,1,3.6366250133141875,,,
