query_id,question,bm25_hit5,dense_hit5,hybrid_hit5,hybrid_rescues_bm25,hybrid_loses_bm25_hit,all_miss
1,"Bob and Ted are close friends. Ted is on trial for drug offences, and Bob has been selected as a juror in Ted’s case. Is the judge required to excuse Bob from serving on the jury?",1,1,1,0,0,0
3,"Isaac is on trial for statutory murder of an emergency worker. You are his barrister. Should you notify the jury that, according to the Crimes Act 1958, the standard sentence for this offence is 30 years imprisonment?",0,0,0,0,0,1
5,"Frank and Joe are jurors in an arson trial. Over the weekend, Joe finds photos of the accused holding a petrol canister and texts them to Frank. Having received this new information, what should Frank do?",0,0,1,1,0,0
6,Does the standard of proof of “beyond reasonable doubt” imply that the jury must be fully convinced of every claim the prosecution has made?,0,0,1,1,0,0
7,"Sally is accused of cultivating narcotic plants in her backyard. One of the elements of this charge is that “the accused intentionally cultivated or attempted to cultivate a particular substance.” To establish whether this is the case, the judge believes it would be valuable to visit Sally’s backyard and have the jury examine it for themselves. What is the name of the legal procedure whereby the court travels to a location relevant to the charge?",0,0,0,0,0,1
8,"Josh is 21 years old. He witnessed a murder that was clearly perpetrated by the accused. The prosecution, however, needs to determine whether the accused committed the acts voluntarily, thus satisfying the elements of intentional or reckless murder. In court, the judge plays a recording of Josh giving his eyewitness testimony. What is this evidentiary process called?",0,0,0,0,0,1
11,"John is on trial for an unnamed offence. John testifies that he could not have committed the offence because he was at an arcade 10 miles away when the offence took place. Earlier, the jury accepted arcade tickets as evidence of John's alibi. John’s counsel now argues that, given this plausible alibi, John could not have committed the crime. What type of reasoning is this an example of?",0,0,0,0,0,1
12,Does Victoria have a law/laws protecting against double jeopardy?,0,0,0,0,0,1
14,"Tim is on trial for aggravated burglary. Before Tim gives evidence, his counsel calls another witness to testify first. Why might this be a bad idea for the defence?",0,0,0,0,0,1
15,Paul is 12 years old. He is a witness in a trial related to a common law riot. You are counsel for the accused. Should you argue that Paul’s is fundamentally untrustworthy because of his age?,0,0,0,0,0,1
16,Can the defence use good character evidence to argue the accused is innocent?,1,0,0,0,1,0
17,Can the prosecution freely use bad character evidence to argue the accused is guilty?,1,1,1,0,0,0
18,"Sam is on trial for murdering her neighbour. The prosecution presents a text from Sam to a friend saying, “I murdered my neighbour today.” What must be established for this text to be treated as an admission?",0,0,0,0,0,1
19,"Omar is charged with intentionally causing serious injury. In a recorded interview, he admits being at the scene and pushing the complainant but denies using a weapon or intending serious harm. At trial, the prosecution asks the jury to accept the incriminating parts of the interview but treat his denial of using a weapon as lies. Does this necessarily involve ‘consciousness of guilt’ reasoning?",1,1,1,0,0,0
20,"Liam is on trial for arson. His sister gives evidence that, at a family dinner, she said, “The police think you set fire to Dad’s shed. You didn’t do it, did you?” Liam, who had been speaking normally, then went silent and looked down. Can this be used as evidence probative of guilt?",0,1,1,1,0,0
21,"At Zoe’s assault trial, the prosecution argues that her blank, expressionless stare at photos of the injured complainant indicates guilt. Is this argument sound?",0,0,0,0,0,1
22,The defence raises the issue of mental impairment and bears the onus of proving it. There is a psychiatrist who has examined the accused. Is the prosecution required to call this psychiatrist as a witness?,1,0,0,0,1,0
23,"Sarah is tried for armed robbery. She does not give or call any evidence. In closing, the prosecution avoids mentioning her silence directly but repeatedly stresses that “only the prosecution’s account is supported by evidence.” Is this submission by the prosecution permissible?",0,0,0,0,0,1
25,"In an armed robbery trial, a shop assistant who has served the accused every week for years is shown still images from CCTV and says, “Based on how he looks, that’s the same customer who comes into my store.” What type of identification evidence is this an example of?",0,0,0,0,0,1
26,"One of the elements of aggravated carjacking is the use of a weapon or causing injury to another person (Crimes Act 1958 s 79A). Smith witnesses an aggravated carjacking late at night. He sees the offender wield a weapon but does not get a good look at their face. A year later, he positively identifies the accused, saying he “recognised him immediately from the daytime photo the police showed me last year.” What cognitive bias, about which the jury is educated, may be relevant in this case?",0,0,0,0,0,1
27,"You are the trial judge in a child stealing case. During the trial, the prosecutor briefly mentions that the image used for recognising the accused was taken before the accused was detained but gives no further explanation. What are judges instructed to do in this situation?",0,0,0,0,0,1
28,"Harvey is on trial for dangerous driving causing serious injury. Priya, a mechanic with 15 years’ experience, inspects the damaged vehicles and wants to tell the jury that, in her opinion, the pattern of damage shows Harvey was travelling at “at least 110 km/h” before impact. Are Priya’s comments inadmissible because they are opinion evidence?",0,0,0,0,0,1
29,"Chris is on trial for intentionally or recklessly causing a bushfire. His counsel says he was carrying out a “cool burn.” Talia, a First Nations woman, is called to explain First Nations practices. Is Talia’s evidence admissible?",0,0,0,0,0,1
31,"Police have detained and taken DNA samples from three of four full siblings in a carjacking investigation: Chloe (female, 24), Sam (female, 23), and Joseph (male, 22). The fourth sibling, Kyle (male, 22), was not detained or sampled. Mitochondrial DNA testing of a crime scene sample links all three sampled siblings to the scene. Y-STR testing (which examines Y-chromosome DNA passed from father to son) links Joseph to the scene. Nuclear DNA testing also links Joseph to the scene. Is this information sufficient to reasonably link Joseph to the crime scene?",0,0,0,0,0,1
32,"Police have detained and taken DNA samples from three of four full siblings in a carjacking investigation: Chloe (female, 24), Sam (female, 23), and Joseph (male, 22). The fourth sibling, Kylie (female, 22), was not detained or sampled. Mitochondrial DNA testing of a crime scene sample links all three sampled siblings to the scene. Y-STR testing (which examines Y-chromosome DNA passed from father to son) links Joseph to the scene. Nuclear DNA testing also links Joseph to the scene. Is this information sufficient to reasonably link Joseph to the crime scene?",0,0,0,0,0,1
33,Is the right to silence based solely on common law?,1,1,1,0,0,0
35,"At dinner, Kim and Frank watch a news story about a drive-by shooting. Kim says the car looks like Frank’s and asks, “That’s not your car, is it, Frank?” Frank stays silent. Frank is now on trial. Why is it important for the prosecution that Kim is not a government authority?",0,0,0,0,0,1
37,"Rachel is on trial for poisoning her business partner with mushrooms. There is no direct proof Rachel possessed poisonous mushrooms, but the prosecution shows that: (1) two weeks before the death she searched for a specific species of poisonous mushroom; (2) she had a manual for dehydration equipment that can mask the taste of mushrooms; and (3) toxicology shows her partner was poisoned by that same species. The prosecution argues it is highly improbable all of this is coincidental, if the death were an accident. What kind of inferential reasoning or type of evidence is the prosecution asking the jury to use?",1,0,0,0,1,0
38,Daisy witnessed a murder in her prison and is called by the prosecution to give evidence. Is she a “prison informer”?,1,0,0,0,1,0
39,"Emma is committed for trial on 1 March. On 25 March, she first tells her lawyer she was at a movie with her sister at the time of the alleged offence and wants both to give evidence, but no notice has been filed. What procedural step is required before Emma, or her sister can give evidence that she was at the movie rather than at the scene of the offence?",1,0,0,0,1,0
40,"Alex is charged with a robbery at a shopping centre at 8:15 pm. He leads evidence that he was having dinner with friends at a restaurant across town at that time, and the jury thinks there is a real chance this is true. Ignoring the standard elements of robbery, what more needs to be proven to establish Alex’s guilt?",0,0,0,0,0,1
41,"Liam and Noah plan to break into a warehouse to steal electronics. Liam agrees to act as the lookout while Noah goes inside; during the burglary, Noah violently assaults a security guard. Liam is later charged as a secondary party to the assault. Under Victorian law, on what basis could Liam be found “involved in the commission” of the assault, even though he only agreed to help with the burglary?",1,0,1,0,0,0
42,"Courtney and Tom agree to sell what they think is a harmless “party pill” to strangers at a music festival. The pills are in fact a controlled drug, and the conduct clearly amounts to a criminal offence. For Courtney to be liable on the basis of this agreement, must the prosecution prove that she knew the substance was illegal?",0,0,0,0,0,1
43,"Noah convinces his 12-year-old nephew to deliver a sealed package to an address, telling him it contains “books for a friend,” when in fact Noah has filled the package with prohibited drugs. The nephew has no idea what is inside and believes he’s doing a harmless favour. If police intercept the drugs, can Noah be liable as a principal offender for drug trafficking?",0,0,0,0,0,1
44,"Jordan is a factory worker; Mia is his supervisor. They’re both charged with a Commonwealth conspiracy to commit an offence that requires an employer to ensure the safety of employees at a hazardous worksite. Two company directors, alleged to be the other parties to the agreement, have already been acquitted of the conspiracy. In these circumstances, can Jordan be found guilty of the conspiracy?",1,1,1,0,0,0
45,"Clyde, who has schizophrenia, assaults a stranger while experiencing delusions. He knows he is hitting a person but believes they are a “demon.” Does his mental illness, or his failure to appreciate the wrongfulness of his conduct, necessarily make his act involuntary?",1,1,1,0,0,0
46,"Jonah is driving when he suddenly suffers an unexpected convulsion, causing his leg to slam down on the accelerator and his car to mount the curb and hit a pedestrian. If the only cause of the collision was this sudden bodily movement during the convulsion, how should a court characterise his physical act for the purpose of criminal liability?",0,0,0,0,0,1
47,"At Andrew’s assault trial, there is no suggestion he was unconscious, seizing, or sleepwalking; all the evidence shows him standing, speaking, and then punching the complainant. Does the prosecution need specific evidence that the punch was voluntary, or can voluntariness be inferred from these circumstances?",0,1,1,1,0,0
48,"Jacob sets off powerful fireworks in a small, crowded backyard. He later admits he knew people could get hurt but did it anyway. In Victoria, what level of criminal culpability best describes his conduct?",1,0,0,0,1,0
49,"Liam throws a heavy brick off a freeway overpass into peak-hour traffic. He later tells police, “I knew it might hit a car, but I didn’t really think much more about it.” At trial, the prosecution tells the jury that recklessness is established if Liam knew the brick “might” cause harm. Why is this an incorrect statement of the legal test for recklessness in Victoria?",0,1,1,1,0,0
50,Abigail is on trial in Victoria for causing serious injury. She argues that the injury was “an accident” because she pushed a door open without looking and it unexpectedly hit someone on the other side. Can Abigail rely on a standalone defence of “accident” in Victoria?,0,1,1,1,0,0
54,"Harper, a New South Wales resident, shoots Riley in Sydney. Riley is stabilised in an NSW hospital, then transferred to a specialist trauma unit in Melbourne, where complications arise during surgery and he dies 10 days after the shooting. Can Harper be tried in a Victorian court?",1,1,1,0,0,0
56,"During an argument outside a bar in 2016, Taylor swings once at Jordan’s jaw; Jordan falls backwards, hits their head on the curb and dies from the head injury. For manslaughter by an unlawful and dangerous act, which element of the offence does Crimes Act 1958 s 4A(4) help the jury assess?",1,1,1,0,0,0
57,"The accused admits he did not actually think death or really serious injury was likely, but the jury is sure that any reasonable person in his position would have realised they were exposing the victim to an appreciable risk of serious injury. If both reckless murder and manslaughter are left, which verdict does this state of mind support?",1,0,1,0,0,0
58,"In 2010, Amir and Bella agree to “rough up” a debtor by slapping him around and threatening him, but nothing more. During the confrontation, Bella unexpectedly pulls a knife and fatally stabs the debtor. Amir is charged with manslaughter as a secondary party. If the prosecution relies on the doctrine that extends liability beyond the agreed lesser assault, what must they prove about Amir’s foresight of Bella’s escalation?",1,0,1,0,0,0
59,"A person is sitting in the back seat of a moving taxi when the taxi strikes a pedestrian at a crossing, killing them instantly. The prosecution later alleges that this rear-seat passenger is guilty of culpable driving causing death because he was driving a motor vehicle at the time of the collision. Is this a sound argument?",0,0,0,0,0,1
60,"In a culpable driving causing death trial, the prosecution tells the jury: “You cannot find the accused guilty unless you are sure he actually realised his driving fell well below that of an ordinary careful driver; if he was simply unaware of the danger, you must acquit.” Is this an accurate statement of the law?",0,0,0,0,0,1
