query_id,question_words,answer_words,n_gold
1,36,52,1
2,56,67,1
3,37,36,1
4,18,61,1
5,36,22,1
6,24,51,1
7,75,48,1
8,57,43,1
9,36,54,1
10,40,24,1
11,68,67,1
12,9,50,1
13,51,14,1
14,29,35,1
15,36,42,1
16,13,30,1
17,14,47,1
18,37,19,1
19,64,67,1
20,53,29,1
21,24,26,1
22,35,44,1
23,42,42,1
24,48,80,1
25,49,49,1
26,87,71,1
27,46,37,1
28,55,54,1
29,37,40,1
30,47,38,1
31,91,58,1
32,91,118,1
33,10,41,1
34,56,36,1
35,51,33,1
36,76,60,1
37,102,71,1
38,21,29,1
39,70,53,1
40,59,18,1
41,70,113,1
42,59,55,1
43,63,35,1
44,64,58,1
45,42,50,1
46,59,30,1
47,45,67,1
48,34,50,1
49,65,20,1
50,46,26,1
51,48,51,1
52,23,49,1
53,33,44,1
54,47,37,1
55,46,68,1
56,52,74,1
57,58,73,1
58,68,72,1
59,57,50,1
60,55,64,1
61,40,37,1
62,41,97,1
63,31,57,1
64,41,50,1
65,39,71,1
66,51,66,1
67,31,40,1
68,47,71,1
69,31,35,1
70,42,59,1
71,41,52,1
72,20,49,1
73,47,50,1
74,54,56,1
75,41,48,1
76,33,84,1
77,43,15,1
78,80,21,1
79,57,28,1
80,48,66,1
81,14,23,1
82,162,41,1
83,114,65,1
84,151,56,1
85,71,42,1
86,55,57,1
87,46,36,1
88,16,48,1
89,4,22,1
90,49,40,1
91,40,45,1
92,73,104,1
93,72,65,1
94,29,50,1
95,49,59,1
96,40,33,1
97,57,61,1
98,23,22,1
99,35,56,1
100,32,46,1
