method,query_id,question,gold_parent_id,first_gold_rank,hit5,hit20,hit100,candidate_pool_size,candidate_pool_hit,category,hybrid_bm25_component_rank,hybrid_dense_component_rank,fusion_dropped_gold_from_pool
bm25,1,"Bob and Ted are close friends. Ted is on trial for drug offences, and Bob has been selected as a juror in Ted’s case. Is the judge required to excuse Bob from serving on the jury?",1.2-c2-s2,2,1,1,1,100,1,top5_hit,,,0
bm25,3,"Isaac is on trial for statutory murder of an emergency worker. You are his barrister. Should you notify the jury that, according to the Crimes Act 1958, the standard sentence for this offence is 30 years imprisonment?",1.5-c6-s1,27,0,0,1,100,1,rank_6_to_100,,,0
bm25,5,"Frank and Joe are jurors in an arson trial. Over the weekend, Joe finds photos of the accused holding a petrol canister and texts them to Frank. Having received this new information, what should Frank do?",1.5-c8-s1,28,0,0,1,100,1,rank_6_to_100,,,0
bm25,6,Does the standard of proof of “beyond reasonable doubt” imply that the jury must be fully convinced of every claim the prosecution has made?,1.7-c3-s2,44,0,0,1,100,1,rank_6_to_100,,,0
bm25,7,"Sally is accused of cultivating narcotic plants in her backyard. One of the elements of this charge is that “the accused intentionally cultivated or attempted to cultivate a particular substance.” To establish whether this is the case, the judge believes it would be valuable to visit Sally’s backyard and have the jury examine it for themselves. What is the name of the legal procedure whereby the court travels to a location relevant to the charge?",2.1-c1-s1,,0,0,0,100,0,absent_from_top100,,,0
bm25,8,"Josh is 21 years old. He witnessed a murder that was clearly perpetrated by the accused. The prosecution, however, needs to determine whether the accused committed the acts voluntarily, thus satisfying the elements of intentional or reckless murder. In court, the judge plays a recording of Josh giving his eyewitness testimony. What is this evidentiary process called?",2.3.3-c2-s1,,0,0,0,100,0,absent_from_top100,,,0
bm25,11,"John is on trial for an unnamed offence. John testifies that he could not have committed the offence because he was at an arcade 10 miles away when the offence took place. Earlier, the jury accepted arcade tickets as evidence of John's alibi. John’s counsel now argues that, given this plausible alibi, John could not have committed the crime. What type of reasoning is this an example of?",3.6-c1-s1,,0,0,0,100,0,absent_from_top100,,,0
bm25,12,Does Victoria have a law/laws protecting against double jeopardy?,3.12-c1-s1,,0,0,0,100,0,absent_from_top100,,,0
bm25,14,"Tim is on trial for aggravated burglary. Before Tim gives evidence, his counsel calls another witness to testify first. Why might this be a bad idea for the defence?",4.1-c1-s1,,0,0,0,100,0,absent_from_top100,,,0
bm25,15,Paul is 12 years old. He is a witness in a trial related to a common law riot. You are counsel for the accused. Should you argue that Paul’s is fundamentally untrustworthy because of his age?,4.2-c3-s1,30,0,0,1,100,1,rank_6_to_100,,,0
bm25,16,Can the defence use good character evidence to argue the accused is innocent?,4.3-c2-s2,4,1,1,1,100,1,top5_hit,,,0
bm25,17,Can the prosecution freely use bad character evidence to argue the accused is guilty?,4.3-c3-s1,5,1,1,1,100,1,top5_hit,,,0
bm25,18,"Sam is on trial for murdering her neighbour. The prosecution presents a text from Sam to a friend saying, “I murdered my neighbour today.” What must be established for this text to be treated as an admission?",4.5-c5-s1,,0,0,0,100,0,absent_from_top100,,,0
bm25,19,"Omar is charged with intentionally causing serious injury. In a recorded interview, he admits being at the scene and pushing the complainant but denies using a weapon or intending serious harm. At trial, the prosecution asks the jury to accept the incriminating parts of the interview but treat his denial of using a weapon as lies. Does this necessarily involve ‘consciousness of guilt’ reasoning?",4.6-c3-s5,1,1,1,1,100,1,top5_hit,,,0
bm25,20,"Liam is on trial for arson. His sister gives evidence that, at a family dinner, she said, “The police think you set fire to Dad’s shed. You didn’t do it, did you?” Liam, who had been speaking normally, then went silent and looked down. Can this be used as evidence probative of guilt?",4.6-c4-s1,12,0,1,1,100,1,rank_6_to_100,,,0
bm25,21,"At Zoe’s assault trial, the prosecution argues that her blank, expressionless stare at photos of the injured complainant indicates guilt. Is this argument sound?",4.6-c4-s9,,0,0,0,100,0,absent_from_top100,,,0
bm25,22,The defence raises the issue of mental impairment and bears the onus of proving it. There is a psychiatrist who has examined the accused. Is the prosecution required to call this psychiatrist as a witness?,4.9-c2-s1,1,1,1,1,100,1,top5_hit,,,0
bm25,23,"Sarah is tried for armed robbery. She does not give or call any evidence. In closing, the prosecution avoids mentioning her silence directly but repeatedly stresses that “only the prosecution’s account is supported by evidence.” Is this submission by the prosecution permissible?",4.10-c7-s1,94,0,0,1,100,1,rank_6_to_100,,,0
bm25,25,"In an armed robbery trial, a shop assistant who has served the accused every week for years is shown still images from CCTV and says, “Based on how he looks, that’s the same customer who comes into my store.” What type of identification evidence is this an example of?",4.12-c2-s1,,0,0,0,100,0,absent_from_top100,,,0
bm25,26,"One of the elements of aggravated carjacking is the use of a weapon or causing injury to another person (Crimes Act 1958 s 79A). Smith witnesses an aggravated carjacking late at night. He sees the offender wield a weapon but does not get a good look at their face. A year later, he positively identifies the accused, saying he “recognised him immediately from the daytime photo the police showed me last year.” What cognitive bias, about which the jury is educated, may be relevant in this case?",4.12.2-c1-s1,9,0,1,1,100,1,rank_6_to_100,,,0
bm25,27,"You are the trial judge in a child stealing case. During the trial, the prosecutor briefly mentions that the image used for recognising the accused was taken before the accused was detained but gives no further explanation. What are judges instructed to do in this situation?",4.12.2-c1-s2,,0,0,0,100,0,absent_from_top100,,,0
bm25,28,"Harvey is on trial for dangerous driving causing serious injury. Priya, a mechanic with 15 years’ experience, inspects the damaged vehicles and wants to tell the jury that, in her opinion, the pattern of damage shows Harvey was travelling at “at least 110 km/h” before impact. Are Priya’s comments inadmissible because they are opinion evidence?",4.13.1-c2-s1,,0,0,0,100,0,absent_from_top100,,,0
