query_index,query_id,split,question,category,reasoning,gold_passage_ids,bm25_top10,bm25_first_relevant_rank,dense_minilm_top10,dense_minilm_first_relevant_rank,hybrid_rrf_alpha_0_25_top10,hybrid_rrf_alpha_0_25_first_relevant_rank
1,b8a1383c,test,CBOE CBA expiring may impact union representation expenses.,Company overview,True,[1],"[3415, 5656, 3491, 13, 513, 5344, 14, 7, 4138, 4]",0,"[0, 4666, 5109, 1769, 4808, 361, 5624, 3204, 5042, 5370]",0,"[3415, 0, 3491, 13, 5344, 9, 5656, 4808, 513, 14]",0
2,9826209b,test,Cboe's earnings impact from market data vs reg fees analysis for ticker.,Footnotes,False,[2],"[9, 298, 13, 14, 1066, 4138, 0, 7, 1070, 2089]",0,"[0, 9, 1571, 358, 3172, 1451, 5235, 1075, 359, 3346]",35,"[9, 0, 14, 1070, 298, 1451, 13, 2602, 1061, 1066]",0
11,a54fecf0,test,Cboe (CBOE) allocates capital primarily towards dividends/share buybacks vs growth investments.,Footnotes,False,"[11, 12]","[13, 3030, 2089, 4153, 1451, 1906, 1159, 5007, 3937, 2821]",0,"[14, 0, 13, 5525, 4675, 9, 2682, 3063, 4666, 3236]",0,"[13, 3030, 9, 1159, 14, 5007, 2089, 3693, 4153, 1451]",0
14,4fd8f27d,test,Profitability trends for FY22-24 at LULU and their cost mgmt strategies.,Financials,True,[15],"[5725, 591, 594, 2781, 2985, 1915, 3387, 206, 2534, 2345]",0,"[15, 1529, 3414, 5148, 2362, 1233, 5257, 354, 4025, 2707]",1,"[5725, 591, 594, 2781, 2985, 1915, 3387, 206, 2534, 2345]",0
15,307eb9a3,test,"Lululemon's impact on ppl strategy & competitive positioning, LULU, drives its growth potential.",Company overview,True,[16],"[2969, 2970, 2972, 206, 930, 782, 1338, 981, 627, 1186]",0,"[24, 15, 1440, 4357, 5659, 3909, 20, 4866, 2366, 5173]",0,"[5659, 2969, 2970, 2972, 206, 930, 24, 782, 1338, 981]",0
17,f514dd06,test,Impact of higher repurchases on financing cash flow for LULU.,Shareholder return,False,[18],"[2551, 5566, 1731, 1756, 2305, 4871, 1473, 4872, 4241, 4807]",0,"[15, 1320, 1244, 3676, 4070, 3835, 25, 4995, 942, 5351]",81,"[2551, 1731, 3676, 4383, 2391, 5566, 1500, 1756, 2305, 4871]",0
21,657fc00c,test,Exec separation risk in governance for LULU board.,Governance,False,[22],"[5151, 397, 713, 1700, 2309, 2365, 4203, 2454, 412, 463]",0,"[732, 731, 162, 1038, 1099, 1115, 513, 3839, 713, 5825]",0,"[713, 397, 5151, 1700, 2309, 2365, 4203, 2454, 412, 463]",0
23,38aeac1d,test,Impact on margins from shipping fee cost acct for LULU.,Accounting,False,[24],"[1648, 4404, 2267, 3206, 3025, 2052, 2222, 2898, 934, 4305]",0,"[4597, 15, 178, 1727, 4815, 5555, 5176, 3025, 3287, 1753]",16,"[3025, 1648, 5176, 4404, 3497, 2222, 4305, 2864, 2267, 3206]",0
24,a6960aa5,test,LULU's cash equivalents impact liquidity.,Financials,False,"[15, 25]","[1986, 13, 1402, 4925, 3128, 4587, 2055, 4480, 4383, 258]",0,"[4383, 5351, 5696, 5740, 2055, 2305, 5177, 599, 4523, 2088]",38,"[1986, 2055, 4383, 3128, 5351, 4587, 4480, 1402, 5740, 2088]",0
27,07a24577,test,Trend in accrued CapEx for investment pace at LULU.,Footnotes,False,"[28, 29]","[3466, 2540, 5355, 4149, 2610, 679, 5166, 676, 1788, 2907]",0,"[3466, 3693, 25, 5405, 2358, 15, 5363, 5526, 716, 721]",77,"[3466, 1147, 2540, 5355, 721, 4149, 2610, 5526, 1639, 679]",0
34,b7268d1d,test,Liquidity and long-term profitability may be affected by CRWD's legal proceedings.,Legal,False,[37],"[4139, 621, 599, 1844, 4226, 5412, 5792, 4627, 746, 4150]",0,"[3591, 5142, 3228, 1022, 1590, 3721, 5781, 4139, 5500, 3385]",0,"[4139, 621, 5792, 746, 4150, 4856, 2074, 1958, 3340, 599]",0
35,c4bf37dc,test,CFO of CrowdStrike focuses on capital allocation & financial mgmt insights.,Governance,False,[38],"[37, 1366, 30, 64, 302, 1723, 1159, 844, 3209, 1610]",0,"[30, 5405, 5525, 1709, 301, 836, 2444, 1204, 941, 1977]",0,"[30, 302, 2602, 37, 1366, 64, 1723, 1159, 844, 3209]",0
38,6e873fd0,test,CRWD's profitability profile is affected by contractual cash outflows and associated risks.,Footnotes,False,[41],"[3488, 2180, 599, 1622, 2911, 4480, 3930, 3202, 2701, 1967]",0,"[143, 1869, 1036, 1495, 242, 5088, 3521, 4490, 4480, 2636]",0,"[4480, 1986, 2701, 3488, 2180, 599, 1622, 3162, 2911, 3930]",0
43,4dfd5440,test,R&D vs ops employee ratio at NVDA.,Company overview,True,[46],"[2590, 1262, 1731, 4498, 3275, 1763, 3240, 2312, 859, 5512]",0,"[2904, 5311, 5602, 4321, 2307, 2046, 3696, 4493, 5700, 1138]",0,"[1262, 2590, 1731, 4498, 3275, 1763, 2137, 3240, 2312, 859]",0
46,1db74376,test,"NVIDIA's cap allocation efficiency, liability mitigation, and impact of external cybersecurity consultations.",Risk,False,[49],"[53, 694, 4582, 5096, 4334, 3079, 3666, 4758, 3808, 5593]",0,"[53, 4071, 3178, 1210, 2587, 2803, 816, 3752, 297, 4323]",57,"[53, 3666, 51, 4582, 3808, 3850, 694, 3578, 3202, 5096]",0
47,dbc577e8,test,NVIDIA (NVDA) long-term financial & competitive safeguards amid GPU/CPU/AI competition.,Company overview,False,[50],"[527, 2895, 1968, 2444, 233, 53, 51, 2061, 4280, 2355]",0,"[527, 818, 58, 50, 53, 2230, 817, 47, 45, 51]",4,"[527, 2895, 53, 51, 233, 2061, 57, 5791, 863, 1968]",0
49,8e615a7a,test,NVIDIA Corp's exec ops/legal impact on risk mgmt & corp governance.,Governance,False,[52],"[53, 51, 57, 1711, 2061, 527, 1610, 4593, 4060, 4180]",0,"[4530, 3385, 53, 3296, 979, 5164, 4380, 3318, 4760, 2323]",0,"[53, 51, 57, 1711, 2061, 527, 1610, 4593, 4060, 4180]",0
53,b5e0dc1c,test,CapEx % rev impact on NVDA's margins/cash flow.,Footnotes,False,[56],"[3466, 4872, 4871, 3803, 3937, 3277, 5222, 457, 4709, 1423]",0,"[3466, 2043, 3693, 765, 755, 2373, 556, 3522, 5265, 3487]",0,"[3466, 3803, 5222, 4872, 4871, 706, 716, 556, 457, 4709]",0
55,df464ff0,test,Impact of NVDA's AI/autonomous invsmt on R&D & long-term cash flow.,Company overview,False,[58],"[1159, 88, 3065, 702, 4318, 2148, 1471, 3781, 2506, 4498]",0,"[2043, 765, 755, 3522, 73, 3672, 2292, 534, 4995, 3542]",0,"[1159, 88, 3065, 702, 4318, 2148, 1471, 3781, 2506, 4498]",0
58,a0d72ab1,test,YoY subs & support rev growth impact on earnings predictability for PANW.,Footnotes,False,[61],"[145, 391, 1100, 1800, 384, 514, 563, 206, 5525, 3975]",0,"[5211, 556, 1927, 145, 854, 295, 3982, 4319, 4244, 700]",0,"[145, 391, 1100, 1800, 384, 514, 563, 206, 556, 5525]",0
61,42a3eae0,test,PANW's S&M spend significantly affects its competitiveness and drives market share/rev growth.,Company overview,False,[64],"[3135, 2838, 4781, 5605, 930, 5347, 2390, 1524, 2821, 1788]",0,"[2025, 5405, 28, 5233, 3025, 4401, 295, 706, 3306, 1204]",0,"[1524, 3135, 2838, 4781, 5605, 930, 5347, 2390, 2821, 1788]",0
69,8a5a8dd5,test,Customer diversification at PANW has a significant impact on its competitive position.,Company overview,False,[72],"[5433, 4496, 3975, 3932, 3840, 4486, 1338, 5034, 4866, 4127]",0,"[4464, 1322, 4225, 4967, 1252, 3227, 963, 5034, 3157, 1440]",0,"[5034, 3975, 3157, 4127, 4866, 5433, 4496, 3932, 3840, 4486]",0
71,15b5a805,test,ADI's eng. talent ratio & turnover impact on comp. innovation.,Company overview,True,[74],"[5800, 813, 3983, 3166, 3643, 3567, 308, 1721, 5290, 1392]",0,"[2058, 1318, 3848, 261, 4441, 186, 1392, 1721, 4193, 4591]",94,"[813, 1721, 1392, 3567, 3643, 3347, 1151, 1318, 3848, 1965]",0
74,04a8b1c4,test,"Impact of cybersecurity spend on profitability, cash flow, and risk profile for ADI.",Risk,False,[78],"[3202, 1622, 380, 5000, 2397, 5151, 1967, 4421, 1805, 1610]",0,"[2632, 1507, 1493, 3687, 2803, 4170, 4017, 3327, 4148, 3134]",0,"[3202, 2397, 5000, 1610, 862, 1622, 380, 2940, 3850, 5151]",0
75,2dd33bdf,test,ADI's rev. stability stems from diverse portfolio & robust cust. svc. drivers.,Company overview,False,[79],"[3482, 530, 2476, 830, 782, 1912, 3438, 1989, 1504, 1001]",0,"[782, 2863, 56, 3146, 493, 1186, 1170, 809, 731, 5232]",55,"[782, 3482, 530, 2476, 830, 818, 1912, 3438, 1989, 5813]",0
