category,query_id,fold,question,gold_passage_id,gold_title,bm25_first_gold_rank,dense_first_gold_rank,hybrid_first_gold_rank,hybrid_transfer_first_gold_rank,hybrid_dense_weight,bm25_top5_ids,dense_top5_ids,hybrid_top5_ids
bm25_only,16,0,Can the defence use good character evidence to argue the accused is innocent?,4.3-c2-s2,4.3 Evidence of Good Character,3,12,6,3,0.5,"[""4.3.1-c1-s2"", ""4.3.2-c1-s2"", ""4.3-c2-s2"", ""4.3-c3-s2"", ""4.3-c2-s1""]","[""4.3-c2-s3"", ""4.3.3-c1-s1"", ""4.3-c2-s9"", ""4.3-c2-s4"", ""3.6.1-c1-s2""]","[""4.3-c2-s3"", ""4.3-c2-s9"", ""4.3-c3-s2"", ""4.3.3-c1-s1"", ""4.3-c3-s1""]"
bm25_only,19,4,"Omar is charged with intentionally causing serious injury. In a recorded interview, he admits being at the scene and pushing the complainant but denies using a weapon or intending serious harm. At trial, the prosecution asks the jury to accept the incriminating parts of the interview but treat his denial of using a weapon as lies. Does this necessarily involve ‘consciousness of guilt’ reasoning?",4.6-c3-s5,4.6 Post-offence lies,1,39,3,2,0.5,"[""4.6-c3-s5"", ""7.4.1.1-c9-s1"", ""4.6-c1-s1"", ""7.4.2.1-c7-s1"", ""7.4.2.3-c7-s1""]","[""4.6.1-c3-s1"", ""4.15-c3-s6"", ""7.5.11-c4-s7"", ""4.4.1-c1-s1"", ""4.6-c3-s6""]","[""4.6.1-c3-s1"", ""7.5.11-c4-s7"", ""4.6-c3-s5"", ""7.4.2.7-c8-s1"", ""4.15-c3-s6""]"
bm25_only,22,4,The defence raises the issue of mental impairment and bears the onus of proving it. There is a psychiatrist who has examined the accused. Is the prosecution required to call this psychiatrist as a witness?,4.9-c2-s1,4.9 Failure to Call a Witness,1,25,8,2,0.5,"[""4.9-c2-s1"", ""8.4-c6-s1"", ""8.8-c4-s10"", ""10.2.1-c6-s2"", ""8.4.1-c2-s1""]","[""8.4.1-c4-s1"", ""10.2.1-c6-s2"", ""8.4-c6-s2"", ""4.13.1-c5-s6"", ""8.4-c2-s1""]","[""10.2.1-c6-s2"", ""8.4-c4-s1"", ""8.4.1-c2-s1"", ""8.4.1-c4-s1"", ""8.4-c7-s1""]"
bm25_only,37,3,"Rachel is on trial for poisoning her business partner with mushrooms. There is no direct proof Rachel possessed poisonous mushrooms, but the prosecution shows that: (1) two weeks before the death she searched for a specific species of poisonous mushroom; (2) she had a manual for dehydration equipment that can mask the taste of mushrooms; and (3) toxicology shows her partner was poisoned by that same species. The prosecution argues it is highly improbable all of this is coincidental, if the death were an accident. What kind of inferential reasoning or type of evidence is the prosecution asking the jury to use?",4.18-c2-s1,"4.18 What is ""Coincidence Evidence""?",1,0,4,4,0.25,"[""4.18-c2-s1"", ""4.18-c5-s4"", ""4.16-c4-s4"", ""4.17-c6-s2"", ""8.2-c13-s1""]","[""8.7-c3-s5"", ""8.7-c3-s4"", ""4.18-c5-s4"", ""8.7-c3-s8"", ""3.6-c3-s8""]","[""4.18-c5-s4"", ""7.6.3-c4-s3"", ""3.6-c3-s14"", ""4.18-c2-s1"", ""4.16-c4-s4""]"
bm25_only,38,0,Daisy witnessed a murder in her prison and is called by the prosecution to give evidence. Is she a “prison informer”?,4.23-c2-s1,4.23 Section 32 Unreliability Warning,2,31,10,6,0.5,"[""4.23.1-c2-s1"", ""4.23-c2-s1"", ""4.21-c5-s6"", ""4.23-c1-s1"", ""4.23.1-c1-s1""]","[""4.23.1-c1-s1"", ""4.21-c5-s6"", ""4.23-c2-s3"", ""4.23.1-c2-s1"", ""4.23-c1-s1""]","[""4.23.1-c2-s1"", ""4.21-c5-s6"", ""4.23.1-c1-s1"", ""4.23-c2-s3"", ""4.23-c1-s1""]"
dense_only,3,3,"Isaac is on trial for statutory murder of an emergency worker. You are his barrister. Should you notify the jury that, according to the Crimes Act 1958, the standard sentence for this offence is 30 years imprisonment?",1.5-c6-s1,1.5 Irrelevance of Sentence,22,4,5,5,0.25,"[""7.4.9-c1-s1"", ""7.4.9.5-c1-s1"", ""7.4.9-c5-s1"", ""7.4.9-c6-s1"", ""7.2.1A-c1-s1""]","[""7.2.1A-c1-s1"", ""7.2.1A-c8-s1"", ""7.2.1A.1-c1-s1"", ""1.5-c6-s1"", ""7.2.1A-c1-s2""]","[""7.2.1A-c1-s1"", ""7.5.4-c4-s4"", ""7.4.9-c1-s1"", ""3.12-c1-s2"", ""1.5-c6-s1""]"
dense_only,6,3,Does the standard of proof of “beyond reasonable doubt” imply that the jury must be fully convinced of every claim the prosecution has made?,1.7-c3-s2,1.7 Standard of Proof,11,5,7,7,0.25,"[""3.7.1-c1-s1"", ""10.2.1-c6-s1"", ""3.16-c8-s1"", ""1.7-c4-s2"", ""11.1-c12-s1""]","[""1.7-c4-s17"", ""1.7-c3-s5"", ""1.7-c4-s21"", ""1.7-c3-s6"", ""1.7-c3-s2""]","[""10.2.1-c6-s1"", ""3.16-c8-s1"", ""11.1-c12-s1"", ""3.7.1-c1-s1"", ""1.7-c4-s16""]"
dense_only,20,0,"Liam is on trial for arson. His sister gives evidence that, at a family dinner, she said, “The police think you set fire to Dad’s shed. You didn’t do it, did you?” Liam, who had been speaking normally, then went silent and looked down. Can this be used as evidence probative of guilt?",4.6-c4-s1,4.6 Other post-offence behaviour,19,2,1,2,0.5,"[""4.16-c4-s4"", ""8.1.1-c2-s1"", ""8.10.1-c2-s1"", ""8.9.1-c2-s1"", ""4.1.1-c1-s1""]","[""4.4.1-c1-s1"", ""4.6-c4-s1"", ""4.10-c3-s4"", ""4.6-c3-s6"", ""4.6.1-c3-s1""]","[""4.6-c4-s1"", ""4.4.2-c1-s1"", ""4.1.1-c1-s1"", ""4.15-c7-s4"", ""3.6.1-c1-s1""]"
dense_only,25,2,"In an armed robbery trial, a shop assistant who has served the accused every week for years is shown still images from CCTV and says, “Based on how he looks, that’s the same customer who comes into my store.” What type of identification evidence is this an example of?",4.12-c2-s1,4.12 What is Identification Evidence?,0,3,25,0,0.5,"[""7.5.3.1-c2-s1"", ""5.8.1-c1-s2"", ""7.5.22.11-c3-s3"", ""4.12-c7-s27"", ""4.22.1-c2-s3""]","[""4.12-c6-s1"", ""4.12-c4-s1"", ""4.12-c2-s1"", ""4.12-c1-s1"", ""4.12-c6-s2""]","[""4.12.2-c1-s1"", ""4.12-c6-s1"", ""4.12-c7-s27"", ""7.5.3.1-c2-s1"", ""4.12-c7-s30""]"
dense_only,27,1,"You are the trial judge in a child stealing case. During the trial, the prosecutor briefly mentions that the image used for recognising the accused was taken before the accused was detained but gives no further explanation. What are judges instructed to do in this situation?",4.12.2-c1-s2,4.12.2 Charge: Photographic Identification,0,2,0,0,0.25,"[""1.11-c15-s1"", ""1.10.1-c4-s1"", ""1.11-c3-s2"", ""1.4.1-c2-s2"", ""10.2.1-c5-s2""]","[""7.3.26-c7-s5"", ""4.12.2-c1-s2"", ""7.4.18.2-c1-s1"", ""7.3.26.1-c1-s1"", ""7.3.28-c8-s2""]","[""1.11-c3-s2"", ""1.4.1-c2-s2"", ""3.3.1-c1-s1"", ""2.1.1-c1-s1"", ""1.11-c14-s1""]"
